Category,Job ID,Sub ID,Budget Avg,Country Normalized,Absolute Date,Job Type,Experience Level,Allowed Applicant Country
Web Development,1976455544224677155,~021976455544224677155,100.0,United States,2025-10-10T01:11:37.375Z,Hourly,Expert,United States
Web & Mobile Design,1987975072809835818,~021987975072809835818,25.0,Lithuania,2025-11-10T20:06:07.154Z,Hourly,Expert,Ukraine
Web Development,1973296127693964020,~021973296127693964020,10.0,India,2025-10-01T07:57:13.786Z,Hourly,Intermediate,India
Web Development,1990295741366359363,~021990295741366359363,25.0,United Arab Emirates,2025-11-17T05:47:37.544Z,Hourly,Intermediate,Kazakhstan
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Albania
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Poland
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Serbia
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,North Macedonia
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Turkey
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Indonesia
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Vietnam
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Philippines
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Argentina
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Colombia
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Mexico
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Egypt
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Tunisia
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Morocco
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,India
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Bangladesh
Web Development,1986018555254835669,~021986018555254835669,40.0,Germany,2025-11-05T10:31:36.943Z,Hourly,Intermediate,Pakistan
Web Development,1957061594144803376,~021957061594144803376,,United States,2025-08-17T12:46:59.379Z,Fixed,Expert,India
Web Development,1990326881141757177,~021990326881141757177,12.5,Pakistan,2025-11-17T07:51:21.864Z,Hourly,Intermediate,Pakistan
Web Development,1985479294371003000,~021985479294371003000,25.0,United States,2025-11-03T22:48:47.134Z,Hourly,Intermediate,India
Web Development,1985479294371003000,~021985479294371003000,25.0,United States,2025-11-03T22:48:47.134Z,Hourly,Intermediate,Philippines
Web Development,1989763778542182145,~021989763778542182145,,United Kingdom,2025-11-15T18:33:47.723Z,Fixed,Expert,United Kingdom
Web Development,1989763778542182145,~021989763778542182145,,United Kingdom,2025-11-15T18:33:47.723Z,Fixed,Expert,United States
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,Canada
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,India
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,Mexico
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,Ukraine
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,United Kingdom
Mobile Development,1985867918362065970,~021985867918362065970,52.5,United States,2025-11-05T00:33:02.383Z,Hourly,Expert,United States
Mobile Development,1986816238653584120,~021986816238653584120,5.5,United Kingdom,2025-11-07T15:21:19.525Z,Hourly,Expert,Pakistan
Web Development,1975605225463200155,~021975605225463200155,17.5,Canada,2025-10-07T16:52:45.592Z,Hourly,Intermediate,United States
Web Development,1975605225463200155,~021975605225463200155,17.5,Canada,2025-10-07T16:52:45.592Z,Hourly,Intermediate,Canada
Web Development,1969068185303936172,~021969068185303936172,57.5,United States,2025-09-19T15:56:53.747Z,Hourly,Intermediate,United States
Web Development,1989243049357144514,~021989243049357144514,7.5,United States,2025-11-14T08:04:36.238Z,Hourly,Entry Level,Ethiopia
Web Development,1989243049357144514,~021989243049357144514,7.5,United States,2025-11-14T08:04:36.238Z,Hourly,Entry Level,Indonesia
Web Development,1988344276671137643,~021988344276671137643,20.0,United States,2025-11-11T20:33:12.142Z,Hourly,Intermediate,Colombia
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Bangladesh
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Kazakhstan
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Pakistan
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Romania
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Serbia
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Slovakia
Desktop Application Development,1988379271938478385,~021988379271938478385,,United States,2025-11-11T22:52:15.639Z,Hourly,Expert,Slovenia
Web Development,1984147037162729151,~021984147037162729151,,Vietnam,2025-10-31T06:34:52.296Z,Fixed,Expert,Vietnam
Web Development,1975267186623397465,~021975267186623397465,7.5,United States,2025-10-06T18:29:30.889Z,Hourly,Expert,Pakistan
Web Development,1971001083838346154,~021971001083838346154,700.0,United Kingdom,2025-09-24T23:57:32.683Z,Fixed,Expert,Ukraine
Web Development,1971001083838346154,~021971001083838346154,700.0,United Kingdom,2025-09-24T23:57:32.683Z,Fixed,Expert,India
Web Development,1971001083838346154,~021971001083838346154,700.0,United Kingdom,2025-09-24T23:57:32.683Z,Fixed,Expert,Pakistan
Web Development,1988077414259492715,~021988077414259492715,20.0,Canada,2025-11-11T02:52:47.136Z,Hourly,Intermediate,Canada
Web Development,1974164395214216174,~021974164395214216174,57.5,United States,2025-10-03T17:27:24.924Z,Hourly,Intermediate,United States
Web Development,1981435323290322425,~021981435323290322425,100.0,United States,2025-10-23T18:59:29.277Z,Fixed,Expert,Pakistan
DevOps & Solution Architecture,1983210432271099312,~021983210432271099312,,United States,2025-10-28T16:33:08.201Z,Fixed,Intermediate,Brazil
DevOps & Solution Architecture,1983210432271099312,~021983210432271099312,,United States,2025-10-28T16:33:08.201Z,Fixed,Intermediate,Egypt
DevOps & Solution Architecture,1983210432271099312,~021983210432271099312,,United States,2025-10-28T16:33:08.201Z,Fixed,Intermediate,Argentina
DevOps & Solution Architecture,1983210432271099312,~021983210432271099312,,United States,2025-10-28T16:33:08.201Z,Fixed,Intermediate,Colombia
DevOps & Solution Architecture,1983210432271099312,~021983210432271099312,,United States,2025-10-28T16:33:08.201Z,Fixed,Intermediate,Chile
DevOps & Solution Architecture,1971897471892997309,~021971897471892997309,450.0,India,2025-09-27T11:19:28.326Z,Fixed,Expert,India
Mobile Development,1986043027546029814,~021986043027546029814,,United States,2025-11-05T12:08:51.615Z,Hourly,Expert,Rwanda
Mobile Development,1986043027546029814,~021986043027546029814,,United States,2025-11-05T12:08:51.615Z,Hourly,Expert,Kenya
Mobile Development,1986043027546029814,~021986043027546029814,,United States,2025-11-05T12:08:51.615Z,Hourly,Expert,Uganda
Ecommerce Development,1988473153636665195,~021988473153636665195,19.5,Australia,2025-11-12T05:05:18.771Z,Hourly,Intermediate,Armenia
Ecommerce Development,1988473153636665195,~021988473153636665195,19.5,Australia,2025-11-12T05:05:18.771Z,Hourly,Intermediate,Ukraine
Web Development,1988796786866923835,~021988796786866923835,30.0,United States,2025-11-13T02:31:18.952Z,Hourly,Expert,Philippines
Web Development,1988796786866923835,~021988796786866923835,30.0,United States,2025-11-13T02:31:18.952Z,Hourly,Expert,Ukraine
Web Development,1988796786866923835,~021988796786866923835,30.0,United States,2025-11-13T02:31:18.952Z,Hourly,Expert,Romania
Web Development,1985571751998209819,~021985571751998209819,22.5,India,2025-11-04T04:56:10.724Z,Hourly,Intermediate,India
QA Testing,1989004309386036736,~021989004309386036736,100.0,Armenia,2025-11-13T16:15:56.175Z,Fixed,Intermediate,United States
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Argentina
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Bangladesh
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Brazil
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Bulgaria
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Chile
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Colombia
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Costa Rica
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Czech Republic
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Dominican Republic
Ecommerce Development,1982169892366917364,~021982169892366917364,16.0,United States,2025-10-25T19:38:24.158Z,Hourly,Intermediate,Ecuador
